image,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
1032.png,PruneSID,336,336,51,71,8668.0,49972.0,13916,44724,0.17345713599615784,0.19381092925498614
1033.png,DRIP,336,336,42,73,4555.0,32141.0,14308,22388,0.14171929933729505,0.20345720921922458
1033.png,Fixed,336,336,42,72,2653.0,33847.0,14112,22388,0.07838213135580702,0.11850098266928712
1033.png,PruneSID,336,336,42,71,4528.0,31776.0,13916,22388,0.14249748237663645,0.202251206003216
1034.png,DRIP,336,336,35,73,6226.0,49905.0,14308,41823,0.12475703837290852,0.14886545680606364
1034.png,Fixed,336,336,35,72,5666.0,50269.0,14112,41823,0.11271360082754779,0.13547569519164096
1034.png,PruneSID,336,336,35,71,7014.0,48725.0,13916,41823,0.1439507439712673,0.16770676422064415
1035.png,DRIP,336,336,10,73,718.0,18861.0,14308,5271,0.03806797094533694,0.136217036615443
1035.png,Fixed,336,336,10,72,487.0,18896.0,14112,5271,0.02577265029635902,0.09239233542022386
1035.png,PruneSID,336,336,10,71,1673.0,17514.0,13916,5271,0.09552358113509192,0.31739707835325365
1036.png,DRIP,336,336,21,72,1414.0,25803.0,14112,13105,0.05479982947719257,0.10789774895078215
1036.png,Fixed,336,336,21,72,1869.0,25348.0,14112,13105,0.07373362789963706,0.1426173216329645
1036.png,PruneSID,336,336,21,71,2489.0,24532.0,13916,13105,0.10145931844121964,0.18992750858450974
1037.png,DRIP,336,336,32,73,2280.0,26042.0,14308,14014,0.08755087934874434,0.16269444840873412
1037.png,Fixed,336,336,32,72,1477.0,26649.0,14112,14014,0.05542421854478592,0.10539460539460539
1037.png,PruneSID,336,336,32,71,3180.0,24750.0,13916,14014,0.12848484848484848,0.22691594120165548
1038.png,DRIP,336,336,3,73,1232.0,16640.0,14308,3564,0.07403846153846154,0.345679012345679
1038.png,Fixed,336,336,3,72,826.0,16850.0,14112,3564,0.049020771513353115,0.23176206509539843
1038.png,PruneSID,336,336,3,71,1288.0,16192.0,13916,3564,0.07954545454545454,0.3613916947250281
1039.png,DRIP,336,336,42,72,5834.0,34038.0,14112,25760,0.17139667430518832,0.2264751552795031
1039.png,Fixed,336,336,42,72,3660.0,36212.0,14112,25760,0.10107146802165028,0.1420807453416149
1039.png,PruneSID,336,336,42,71,6085.0,33591.0,13916,25760,0.18114971272066924,0.23621894409937888
104.png,DRIP,336,336,42,72,4860.0,45713.0,14112,36461,0.10631549012315972,0.1332931077041222
104.png,Fixed,336,336,42,72,4155.0,46418.0,14112,36461,0.08951268904304364,0.11395737911741313
104.png,PruneSID,336,336,42,71,8515.0,41862.0,13916,36461,0.20340643065309827,0.23353720413592605
1040.png,DRIP,336,336,1,72,327.0,14810.0,14112,1025,0.022079675894665765,0.31902439024390244
1040.png,Fixed,336,336,1,72,250.0,14887.0,14112,1025,0.016793175253576945,0.24390243902439024
1040.png,PruneSID,336,336,1,71,294.0,14647.0,13916,1025,0.020072369768553287,0.2868292682926829
1041.png,DRIP,336,336,16,73,4154.0,27997.0,14308,17843,0.14837303996856807,0.23280838424031833
1041.png,Fixed,336,336,16,72,2458.0,29497.0,14112,17843,0.08333050818727328,0.13775710362607185
1041.png,PruneSID,336,336,16,71,4301.0,27458.0,13916,17843,0.1566392308252604,0.24104690915204843
1042.png,DRIP,336,336,30,72,4000.0,32954.0,14112,22842,0.12138131941494204,0.17511601435951318
1042.png,Fixed,336,336,30,72,3006.0,33948.0,14112,22842,0.08854718981972429,0.13159968479117415
1042.png,PruneSID,336,336,30,71,5093.0,31665.0,13916,22842,0.1608400442128533,0.22296646528325015
1043.png,DRIP,336,336,15,73,5881.0,56314.0,14308,47887,0.1044322903718436,0.12280994842023932
1043.png,Fixed,336,336,15,72,6348.0,55651.0,14112,47887,0.11406803112253149,0.1325620732140247
1043.png,PruneSID,336,336,15,71,8126.0,53677.0,13916,47887,0.15138700001862995,0.16969114791070644
1044.png,DRIP,336,336,6,73,455.0,15938.0,14308,2085,0.028548123980424143,0.2182254196642686
1044.png,Fixed,336,336,6,72,439.0,15758.0,14112,2085,0.027858865338240894,0.2105515587529976
1044.png,PruneSID,336,336,6,71,533.0,15468.0,13916,2085,0.03445823635893457,0.2556354916067146
1045.png,DRIP,336,336,76,73,3573.0,36871.0,14308,26136,0.09690542702937267,0.13670798898071626
1045.png,Fixed,336,336,76,72,3230.0,37018.0,14112,26136,0.08725484899238209,0.12358432812978268
