class_idx,class_name,total,correct,accuracy
124,crayfish,50,29,0.5799999833106995
125,hermit crab,50,39,0.7799999713897705
126,isopod,50,30,0.6000000238418579
127,white stork,50,44,0.8799999952316284
128,black stork,50,39,0.7799999713897705
129,spoonbill,50,48,0.9599999785423279
130,flamingo,50,48,0.9599999785423279
131,little blue heron,50,43,0.8600000143051147
132,American egret,50,47,0.9399999976158142
133,bittern,50,41,0.8199999928474426
134,crane,50,35,0.699999988079071
135,limpkin,50,48,0.9599999785423279
136,European gallinule,50,47,0.9399999976158142
137,American coot,50,45,0.8999999761581421
138,bustard,50,46,0.9200000166893005
139,ruddy turnstone,50,47,0.9399999976158142
140,red-backed sandpiper,50,46,0.9200000166893005
141,redshank,50,43,0.8600000143051147
142,dowitcher,50,39,0.7799999713897705
143,oystercatcher,50,46,0.9200000166893005
144,pelican,50,45,0.8999999761581421
145,king penguin,50,46,0.9200000166893005
146,albatross,50,44,0.8799999952316284
147,grey whale,50,41,0.8199999928474426
148,killer whale,50,48,0.9599999785423279
149,dugong,50,42,0.8399999737739563
150,sea lion,50,36,0.7200000286102295
151,Chihuahua,50,25,0.5
152,Japanese spaniel,50,37,0.7400000095367432
153,Maltese dog,50,37,0.7400000095367432
154,Pekinese,50,40,0.800000011920929
155,Shih-Tzu,50,36,0.7200000286102295
156,Blenheim spaniel,50,43,0.8600000143051147
157,papillon,50,46,0.9200000166893005
158,toy terrier,50,24,0.47999998927116394
159,Rhodesian ridgeback,50,35,0.699999988079071
160,Afghan hound,50,46,0.9200000166893005
161,basset,50,35,0.699999988079071
162,beagle,50,42,0.8399999737739563
163,bloodhound,50,20,0.4000000059604645
164,bluetick,50,42,0.8399999737739563
165,black-and-tan coonhound,50,23,0.46000000834465027
166,Walker hound,50,27,0.5400000214576721
167,English foxhound,50,14,0.2800000011920929
168,redbone,50,35,0.699999988079071
169,borzoi,50,45,0.8999999761581421
170,Irish wolfhound,50,30,0.6000000238418579
171,Italian greyhound,50,38,0.7599999904632568
172,whippet,50,34,0.6800000071525574
173,Ibizan hound,50,27,0.5400000214576721
174,Norwegian elkhound,50,39,0.7799999713897705
175,otterhound,50,29,0.5799999833106995
176,Saluki,50,35,0.699999988079071
177,Scottish deerhound,50,41,0.8199999928474426
178,Weimaraner,50,44,0.8799999952316284
179,Staffordshire bullterrier,50,32,0.6399999856948853
180,American Staffordshire terrier,50,26,0.5199999809265137
181,Bedlington terrier,50,41,0.8199999928474426
182,Border terrier,50,41,0.8199999928474426
183,Kerry blue terrier,50,35,0.699999988079071
184,Irish terrier,50,29,0.5799999833106995
185,Norfolk terrier,50,32,0.6399999856948853
186,Norwich terrier,50,28,0.5600000023841858
187,Yorkshire terrier,50,29,0.5799999833106995
188,wire-haired fox terrier,50,37,0.7400000095367432
189,Lakeland terrier,50,28,0.5600000023841858
190,Sealyham terrier,50,38,0.7599999904632568
191,Airedale,50,39,0.7799999713897705
192,cairn,50,36,0.7200000286102295
193,Australian terrier,50,21,0.41999998688697815
194,Dandie Dinmont,50,39,0.7799999713897705
195,Boston bull,50,45,0.8999999761581421
196,miniature schnauzer,50,33,0.6600000262260437
197,giant schnauzer,50,34,0.6800000071525574
198,standard schnauzer,50,33,0.6600000262260437
199,Scotch terrier,50,36,0.7200000286102295
200,Tibetan terrier,50,30,0.6000000238418579
201,silky terrier,50,30,0.6000000238418579
202,soft-coated wheaten terrier,50,37,0.7400000095367432
203,West Highland white terrier,50,43,0.8600000143051147
204,Lhasa,50,26,0.5199999809265137
205,flat-coated retriever,50,34,0.6800000071525574
206,curly-coated retriever,50,33,0.6600000262260437
207,golden retriever,50,40,0.800000011920929
208,Labrador retriever,50,38,0.7599999904632568
209,Chesapeake Bay retriever,50,37,0.7400000095367432
210,German short-haired pointer,50,44,0.8799999952316284
211,vizsla,50,38,0.7599999904632568
212,English setter,50,34,0.6800000071525574
213,Irish setter,50,36,0.7200000286102295
214,Gordon setter,50,38,0.7599999904632568
215,Brittany spaniel,50,37,0.7400000095367432
216,clumber,50,46,0.9200000166893005
217,English springer,50,43,0.8600000143051147
218,Welsh springer spaniel,50,44,0.8799999952316284
219,cocker spaniel,50,30,0.6000000238418579
220,Sussex spaniel,50,32,0.6399999856948853
221,Irish water spaniel,50,36,0.7200000286102295
222,kuvasz,50,30,0.6000000238418579
223,schipperke,50,40,0.800000011920929
224,groenendael,50,36,0.7200000286102295
225,malinois,50,46,0.9200000166893005
226,briard,50,24,0.47999998927116394
227,kelpie,50,29,0.5799999833106995
228,komondor,50,43,0.8600000143051147
229,Old English sheepdog,50,44,0.8799999952316284
230,Shetland sheepdog,50,40,0.800000011920929
