image,dataset_name,question_type,method,image_width,image_height,num_craft_boxes,num_boundary_patches,intersection_pixels,union_pixels,boundary_pixels,text_pixels,iou,text_coverage
36,rico,APP agent en,DRIP,336,336,41,144,9466.0,45160.0,28224,26402,0.2096102745792737,0.3585334444360276
36,rico,APP agent en,Fixed,336,336,41,144,6170.0,48456.0,28224,26402,0.12733201254746573,0.23369441708961441
37,rico,APP agent en,DRIP,336,336,20,144,7398.0,35525.0,28224,14699,0.20824771287825475,0.5032995441866793
37,rico,APP agent en,Fixed,336,336,20,144,3387.0,39536.0,28224,14699,0.08566875758802105,0.23042383835635077
38,rico,APP agent en,DRIP,336,336,11,144,4299.0,32070.0,28224,8145,0.1340505144995323,0.5278084714548803
38,rico,APP agent en,Fixed,336,336,11,144,2123.0,34246.0,28224,8145,0.0619926414763768,0.26065070595457335
39,rico,APP agent en,DRIP,336,336,21,144,7263.0,36975.0,28224,16014,0.19643002028397566,0.4535406519295616
39,rico,APP agent en,Fixed,336,336,21,144,3918.0,40320.0,28224,16014,0.09717261904761905,0.24466092169351816
40,rico,APP agent en,DRIP,336,336,56,145,8015.0,48517.0,28420,28112,0.16519982686481027,0.28510956175298807
40,rico,APP agent en,Fixed,336,336,56,144,7533.0,48803.0,28224,28112,0.15435526504518166,0.26796385885031304
41,rico,APP agent en,DRIP,336,336,8,144,8159.0,34793.0,28224,14728,0.23450119276866035,0.5539788158609451
41,rico,APP agent en,Fixed,336,336,8,144,3851.0,39101.0,28224,14728,0.09848852970512263,0.26147474198805
42,rico,APP agent en,DRIP,336,336,14,144,7382.0,35724.0,28224,14882,0.20663979397603852,0.4960354791022712
42,rico,APP agent en,Fixed,336,336,14,144,3574.0,39532.0,28224,14882,0.09040777091976121,0.24015589302513102
43,rico,APP agent en,DRIP,336,336,44,144,10305.0,41555.0,28224,23636,0.24798459872458187,0.4359874767304112
43,rico,APP agent en,Fixed,336,336,44,144,5778.0,46082.0,28224,23636,0.12538518293476847,0.2444576070401083
44,rico,APP agent en,DRIP,336,336,0,144,,,28224,0,,
44,rico,APP agent en,Fixed,336,336,0,144,,,28224,0,,
45,rico,APP agent en,DRIP,336,336,27,144,10228.0,47544.0,28224,29548,0.21512704021537943,0.34614863950182756
45,rico,APP agent en,Fixed,336,336,27,144,7695.0,50077.0,28224,29548,0.15366335842802084,0.26042371734127523
46,rico,APP agent en,DRIP,336,336,92,144,12377.0,72098.0,28224,56251,0.17166911703514662,0.22003164388188653
46,rico,APP agent en,Fixed,336,336,92,144,14253.0,70222.0,28224,56251,0.2029705790208197,0.2533821620948961
47,rico,APP agent en,DRIP,336,336,17,144,3861.0,33913.0,28224,9550,0.11385014596172559,0.4042931937172775
47,rico,APP agent en,Fixed,336,336,17,144,2169.0,35605.0,28224,9550,0.06091841033562702,0.22712041884816753
48,rico,APP agent en,DRIP,336,336,12,144,6388.0,32504.0,28224,10668,0.1965296578882599,0.5988001499812523
48,rico,APP agent en,Fixed,336,336,12,144,2735.0,36157.0,28224,10668,0.0756423375833172,0.2563742032245969
49,rico,APP agent en,DRIP,336,336,34,144,7929.0,38959.0,28224,18664,0.20352165096640057,0.42482854693527644
49,rico,APP agent en,Fixed,336,336,34,144,4389.0,42499.0,28224,18664,0.10327301818866326,0.23515859408486928
50,rico,APP agent en,DRIP,336,336,35,144,7646.0,47042.0,28224,26464,0.16253560647931636,0.28892079806529625
50,rico,APP agent en,Fixed,336,336,35,144,6683.0,48005.0,28224,26464,0.139214665139048,0.25253174123337363
